 Num Of Points,  x obs meter,y obs meter, z obs meter, obs type
473,-982,-764,-100,35
473,-982,-746,-100,35
473,-980,-768,-100,35
473,-978,-738,-100,35
473,-976,-772,-100,35
473,-970,-728,-100,35
473,-964,-772,-100,35
473,-962,-724,-100,35
473,-952,-722,-100,35
473,-938,-722,-100,35
473,-934,-762,-100,35
473,-930,-726,-100,35
473,-926,-754,-100,35
473,-926,-730,-100,35
473,-924,-750,-100,35
473,-924,-734,-100,35
473,-922,-744,-100,35
473,-922,-742,-100,35
473,-1152,-934,-100,36
473,-1138,-960,-100,36
473,-1132,-970,-100,36
473,-1130,-972,-100,36
473,-1128,-970,-100,36
473,-1124,-964,-100,36
473,-1110,-938,-100,36
473,-1108,-934,-100,36
473,-986,-408,-100,37
473,-984,-408,-100,37
473,-980,-426,-100,37
473,-962,-474,-100,37
473,-960,-474,-100,37
473,-950,-414,-100,37
473,-938,-448,-100,37
